Date,Ships in Luanda Bay,Ships in Offshore Area,Ships in Lobito Bay,Closure Policy
01/10/20,37,29,6,Pre-Emergency
01/11/20,,,,
01/12/20,,,,
01/13/20,,,,
01/14/20,,,,
01/15/20,,,,
01/16/20,,,,
01/17/20,,,,
01/18/20,,,,
01/19/20,,,,
01/20/20,,,,
01/21/20,,,,
01/22/20,37,28,6,Pre-Emergency
01/23/20,,,,
01/24/20,,,,
01/25/20,,,,
01/26/20,,,,
01/27/20,,,,
01/28/20,,,,
01/29/20,,,,
01/30/20,,,,
01/31/20,,,,
02/01/20,,,,
02/02/20,,,,
02/03/20,24,28,6,Pre-Emergency
02/04/20,,,,
02/05/20,,,,
02/06/20,,,,
02/07/20,,,,
02/08/20,,,,
02/09/20,,,,
02/10/20,,,,
02/11/20,,,,
02/12/20,,,,
02/13/20,,,,
02/14/20,,,,
02/15/20,34,29,6,Pre-Emergency
02/16/20,,,,
02/17/20,,,,
02/18/20,,,,
02/19/20,,,,
02/20/20,,,,
02/21/20,,,,
02/22/20,,,,
02/23/20,,,,
02/24/20,,,,
02/25/20,,,,
02/26/20,,,,
02/27/20,27,28,6,Pre-Emergency
02/28/20,,,,
02/29/20,,,,
03/01/20,,,,
03/02/20,,,,
03/03/20,,,,
03/04/20,,,,
03/05/20,,,,
03/06/20,,,,
03/07/20,,,,
03/08/20,,,,
03/09/20,,,,
03/10/20,,,,
03/11/20,,,,
03/12/20,,,,
03/13/20,,,,
03/14/20,,,,
03/15/20,26,28,5,Pre-Emergency
03/16/20,,,,
03/17/20,,,,
03/18/20,,,,
03/19/20,,,,
03/20/20,,,,
03/21/20,,,,
03/22/20,28,25,6,Pre-Emergency
03/23/20,,,,
03/24/20,,,,
03/25/20,,,,
03/26/20,,,,
03/27/20,,,,
03/28/20,,,,
03/29/20,,,,
03/30/20,,,,
03/31/20,,,,
04/01/20,,,,
04/02/20,,,,
04/03/20,31,25,7,Emergency State
04/04/20,,,,
04/05/20,,,,
04/06/20,,,,
04/07/20,,,,
04/08/20,,,,
04/09/20,,,,
04/10/20,,,,
04/11/20,,,,
04/12/20,,,,
04/13/20,,,,
04/14/20,,,,
04/15/20,25,28,7,Emergency State
04/16/20,,,,
04/17/20,,,,
04/18/20,,,,
04/19/20,,,,
04/20/20,,,,
04/21/20,,,,
04/22/20,,,,
04/23/20,,,,
04/24/20,,,,
04/25/20,,,,
04/26/20,,,,
04/27/20,26,31,6,Emergency State
04/28/20,,,,
04/29/20,,,,
04/30/20,,,,
05/01/20,,,,
05/02/20,,,,
05/03/20,,,,
05/04/20,,,,
05/05/20,,,,
05/06/20,,,,
05/07/20,,,,
05/08/20,,,,
05/09/20,38,34,6,Emergency State
05/10/20,,,,
05/11/20,,,,
05/12/20,,,,
05/13/20,,,,
05/14/20,,,,
05/15/20,,,,
05/16/20,,,,
05/17/20,,,,
05/18/20,,,,
05/19/20,,,,
05/20/20,,,,
05/21/20,38,35,7,Emergency State
05/22/20,,,,
05/23/20,,,,
05/24/20,,,,
05/25/20,,,,
05/26/20,,,,
05/27/20,,,,
05/28/20,,,,
05/29/20,,,,
05/30/20,,,,
05/31/20,,,,
06/01/20,,,,
06/02/20,29,30,6,Calamity State
06/03/20,,,,
06/04/20,,,,
06/05/20,,,,
06/06/20,,,,
06/07/20,,,,
06/08/20,,,,
06/09/20,,,,
06/10/20,,,,
06/11/20,,,,
06/12/20,,,,
06/13/20,,,,
06/14/20,36,35,6,Calamity State
06/15/20,,,,
06/16/20,,,,
06/17/20,,,,
06/18/20,,,,
06/19/20,,,,
06/20/20,,,,
06/21/20,,,,
06/22/20,,,,
06/23/20,,,,
06/24/20,,,,
06/25/20,,,,
06/26/20,32,33,6,Calamity State
06/27/20,,,,
06/28/20,,,,
06/29/20,,,,
06/30/20,,,,
07/01/20,,,,
07/02/20,,,,
07/03/20,,,,
07/04/20,,,,
07/05/20,,,,
07/06/20,,,,
07/07/20,,,,
07/08/20,30,33,10,Calamity State
07/09/20,,,,
07/10/20,,,,
07/11/20,,,,
07/12/20,,,,
07/13/20,,,,
07/14/20,,,,
07/15/20,,,,
07/16/20,,,,
07/17/20,,,,
07/18/20,,,,
07/19/20,,,,
07/20/20,,,,
07/21/20,30,32,7,Calamity State
07/22/20,,,,
07/23/20,,,,
07/24/20,,,,
07/25/20,,,,
07/26/20,,,,
07/27/20,,,,
07/28/20,,,,
07/29/20,,,,
07/30/20,,,,
07/31/20,,,,
08/01/20,32,23,9,Calamity State
08/02/20,,,,
08/03/20,,,,
08/04/20,,,,
08/05/20,,,,
08/06/20,,,,
08/07/20,,,,
08/08/20,,,,
08/09/20,,,,
08/10/20,,,,
08/11/20,,,,
08/12/20,,,,
08/13/20,30,29,7,Calamity State
08/14/20,,,,
08/15/20,,,,
08/16/20,,,,
08/17/20,,,,
08/18/20,,,,
08/19/20,,,,
08/20/20,,,,
08/21/20,,,,
08/22/20,,,,
08/23/20,,,,
08/24/20,,,,
08/25/20,27,24,8,Calamity State
08/26/20,,,,
08/27/20,,,,
08/28/20,,,,
08/29/20,,,,
08/30/20,,,,
08/31/20,,,,
09/01/20,,,,
09/02/20,,,,
09/03/20,,,,
09/04/20,,,,
09/05/20,,,,
09/06/20,29,26,8,Calamity State
09/07/20,,,,
09/08/20,,,,
09/09/20,,,,
09/10/20,,,,
09/11/20,,,,
09/12/20,,,,
09/13/20,,,,
09/14/20,,,,
09/15/20,,,,
09/16/20,,,,
09/17/20,,,,
09/18/20,30,22,8,Calamity State
09/19/20,,,,
09/20/20,,,,
09/21/20,,,,
09/22/20,,,,
09/23/20,,,,
09/24/20,,,,
09/25/20,,,,
09/26/20,,,,
09/27/20,,,,
09/28/20,,,,
09/29/20,,,,
09/30/20,38,29,8,Calamity State
10/01/20,,,,
10/02/20,,,,
10/03/20,,,,
10/04/20,,,,
10/05/20,,,,
10/06/20,,,,
10/07/20,,,,
10/08/20,,,,
10/09/20,,,,
10/10/20,,,,
10/11/20,,,,
10/12/20,41,23,6,Calamity State
10/13/20,,,,
10/14/20,,,,
10/15/20,,,,
10/16/20,,,,
10/17/20,,,,
10/18/20,,,,
10/19/20,,,,
10/20/20,,,,
10/21/20,,,,
10/22/20,,,,
10/23/20,,,,
10/24/20,38,23,8,Calamity State
10/25/20,,,,
10/26/20,,,,
10/27/20,,,,
10/28/20,,,,
10/29/20,,,,
10/30/20,,,,
10/31/20,,,,
11/01/20,,,,
11/02/20,,,,
11/03/20,,,,
11/04/20,,,,
11/05/20,41,20,8,Calamity State
11/06/20,,,,
11/07/20,,,,
11/08/20,,,,
11/09/20,,,,
11/10/20,,,,
11/11/20,,,,
11/12/20,,,,
11/13/20,,,,
11/14/20,,,,
11/15/20,,,,
11/16/20,,,,
11/17/20,,,,
11/18/20,33,30,9,Calamity State
11/19/20,,,,
11/20/20,,,,
11/21/20,,,,
11/22/20,,,,
11/23/20,,,,
11/24/20,,,,
11/25/20,,,,
11/26/20,,,,
11/27/20,,,,
11/28/20,,,,
11/29/20,36,19,8,Calamity State
11/30/20,,,,
12/01/20,,,,
12/02/20,,,,
12/03/20,,,,
12/04/20,,,,
12/05/20,,,,
12/06/20,,,,
12/07/20,,,,
12/08/20,,,,
12/09/20,,,,
12/10/20,,,,
12/11/20,30,22,9,Calamity State
12/12/20,,,,
12/13/20,,,,
12/14/20,,,,
12/15/20,,,,
12/16/20,,,,
12/17/20,,,,
12/18/20,,,,
12/19/20,,,,
12/20/20,,,,
12/21/20,,,,
12/22/20,,,,
12/23/20,24,25,8,Calamity State
